CHECKSUM,COUNTER,Steer_Torque_Sensor,Steering_Angle,Steer_Torque_Output,wordcount,Steer_Warning,[PRED]DecisionTreeClassifier,[PRED]GaussianNB
29.0,4.0,12.0,1.0633,-220.0,85,0.0,0.0,0.0
31.0,5.0,13.0,1.0633,-240.0,91,0.0,0.0,0.0
32.0,6.0,14.0,1.0416,-240.0,82,0.0,0.0,0.0
40.0,7.0,14.0,0.9982,-290.0,103,0.0,0.0,0.0
42.0,8.0,15.0,0.9765,-300.0,103,0.0,0.0,0.0
42.0,9.0,16.0,0.9548,-290.0,97,0.0,0.0,0.0
47.0,10.0,16.0,0.9331,-320.0,85,0.0,0.0,0.0
48.0,11.0,16.0,0.9114,-310.0,73,0.0,0.0,0.0
50.0,12.0,19.0,0.8463,-320.0,130,0.0,0.0,0.0
49.0,13.0,25.0,0.7378,-310.0,103,0.0,0.0,0.0
53.0,14.0,32.0,0.5425,-320.0,85,0.0,0.0,0.0
64.0,15.0,29.0,0.3689,-310.0,100,0.0,0.0,0.0
62.0,0.0,25.0,0.1302,-290.0,76,0.0,0.0,0.0
87.0,1.0,17.0,-0.1085,-330.0,100,0.0,0.0,0.0
107.0,2.0,3.0,-0.1953,-340.0,118,0.0,0.0,0.0
107.0,3.0,-6.0,-0.217,-300.0,85,0.0,0.0,0.0
97.0,4.0,-2.0,-0.217,-230.0,85,0.0,0.0,0.0
96.0,5.0,7.0,-0.217,-230.0,82,0.0,0.0,0.0
88.0,6.0,15.0,-0.217,-220.0,103,0.0,0.0,0.0
90.0,7.0,17.0,-0.217,-250.0,103,0.0,0.0,0.0
101.0,8.0,13.0,-0.217,-310.0,91,0.0,0.0,0.0
107.0,9.0,8.0,-0.217,-310.0,79,0.0,0.0,0.0
108.0,10.0,6.0,-0.217,-290.0,76,0.0,0.0,0.0
106.0,11.0,8.0,-0.217,-280.0,118,0.0,0.0,0.0
106.0,12.0,10.0,-0.217,-290.0,112,0.0,0.0,0.0
111.0,13.0,12.0,-0.2387,-340.0,88,0.0,0.0,0.0
116.0,14.0,10.0,-0.2387,-360.0,121,0.0,0.0,0.0
116.0,15.0,9.0,-0.2387,-340.0,76,0.0,0.0,0.0
100.0,0.0,9.0,-0.2387,-330.0,106,0.0,0.0,0.0
103.0,1.0,9.0,-0.2387,-350.0,112,0.0,0.0,0.0
98.0,2.0,13.0,-0.2604,-320.0,91,0.0,0.0,0.0
101.0,3.0,11.0,-0.2604,-320.0,79,0.0,0.0,0.0
104.0,4.0,10.0,-0.2604,-330.0,82,0.0,0.0,0.0
97.0,5.0,11.0,-0.2604,-260.0,103,0.0,0.0,0.0
101.0,6.0,11.0,-0.2604,-290.0,103,0.0,0.0,0.0
104.0,7.0,11.0,-0.2604,-310.0,97,0.0,0.0,0.0
107.0,8.0,11.0,-0.2604,-330.0,85,0.0,0.0,0.0
108.0,9.0,10.0,-0.2604,-320.0,76,0.0,0.0,0.0
109.0,10.0,10.0,-0.2604,-320.0,115,0.0,0.0,0.0
109.0,11.0,11.0,-0.2604,-320.0,106,0.0,0.0,0.0
110.0,12.0,12.0,-0.2604,-330.0,85,0.0,0.0,0.0
117.0,13.0,12.0,-0.3038,-370.0,103,0.0,0.0,0.0
119.0,14.0,14.0,-0.3255,-390.0,76,0.0,0.0,0.0
123.0,15.0,16.0,-0.3689,-420.0,103,0.0,0.0,0.0
109.0,0.0,16.0,-0.4123,-410.0,106,0.0,0.0,0.0
111.0,1.0,14.0,-0.4123,-400.0,85,0.0,0.0,0.0
104.0,2.0,16.0,-0.434,-330.0,85,0.0,0.0,0.0
108.0,3.0,16.0,-0.4557,-350.0,85,0.0,0.0,0.0
116.0,4.0,15.0,-0.4774,-400.0,103,0.0,0.0,0.0
117.0,5.0,20.0,-0.6076,-390.0,109,0.0,0.0,0.0
113.0,6.0,18.0,-0.6293,-310.0,88,0.0,0.0,0.0
124.0,7.0,15.0,-0.7595000000000001,-320.0,91,0.0,0.0,0.0
135.0,8.0,13.0,-0.8463,-360.0,73,0.0,0.0,0.0
143.0,9.0,8.0,-0.868,-370.0,121,0.0,0.0,0.0
153.0,10.0,3.0,-0.868,-410.0,103,0.0,0.0,0.0
151.0,11.0,5.0,-0.8897,-390.0,85,0.0,0.0,0.0
148.0,12.0,6.0,-0.8897,-360.0,103,0.0,0.0,0.0
147.0,13.0,7.0,-0.8897,-350.0,76,0.0,0.0,0.0
148.0,14.0,8.0,-0.8897,-360.0,106,0.0,0.0,0.0
152.0,15.0,7.0,-0.8897,-380.0,121,0.0,0.0,0.0
142.0,0.0,7.0,-0.9114,-420.0,85,0.0,0.0,0.0
155.0,1.0,1.0,-0.9331,-470.0,85,0.0,0.0,0.0
150.0,2.0,-2.0,-0.9331,-450.0,82,0.0,0.0,0.0
148.0,3.0,-1.0,-0.9548,-420.0,103,0.0,0.0,0.0
153.0,4.0,0.0,-1.0633,-420.0,106,0.0,0.0,0.0
163.0,5.0,-8.0,-1.0633,-430.0,94,0.0,0.0,0.0
161.0,6.0,-8.0,-1.1067,-380.0,85,0.0,0.0,0.0
155.0,7.0,-3.0,-1.1284,-350.0,76,0.0,0.0,0.0
158.0,8.0,5.0,-1.1718,-360.0,121,0.0,0.0,0.0
152.0,9.0,12.0,-1.1718,-360.0,103,0.0,0.0,0.0
153.0,10.0,13.0,-1.1935,-360.0,85,0.0,0.0,0.0
159.0,11.0,10.0,-1.1935,-380.0,94,0.0,0.0,0.0
165.0,12.0,7.0,-1.1935,-400.0,76,0.0,0.0,0.0
164.0,13.0,10.0,-1.2369,-390.0,103,0.0,0.0,0.0
