CHECKSUM,COUNTER,Steer_Torque_Sensor,Steering_Angle,Steer_Torque_Output,wordcount,Steer_Warning,[PRED]DecisionTreeClassifier,[PRED]GaussianNB
49.0,12.0,20.0,0.5859,-200.0,97,0.0,0.0,0.0
56.0,13.0,16.0,0.5425,-200.0,100,0.0,0.0,0.0
60.0,14.0,16.0,0.4774,-200.0,100,0.0,0.0,0.0
65.0,15.0,18.0,0.3906,-220.0,109,0.0,0.0,0.0
50.0,0.0,21.0,0.3038,-210.0,103,0.0,0.0,0.0
52.0,1.0,25.0,0.1736,-200.0,91,0.0,0.0,0.0
66.0,2.0,21.0,0.0651,-240.0,94,0.0,0.0,0.0
72.0,3.0,15.0,0.0217,-210.0,97,0.0,0.0,0.0
76.0,4.0,17.0,-0.1302,-180.0,115,0.0,0.0,0.0
81.0,5.0,18.0,-0.217,-190.0,100,0.0,0.0,0.0
97.0,6.0,16.0,-0.3255,-270.0,88,0.0,0.0,0.0
95.0,7.0,20.0,-0.434,-230.0,97,0.0,0.0,0.0
106.0,8.0,16.0,-0.4774,-270.0,94,0.0,0.0,0.0
105.0,9.0,19.0,-0.5859,-230.0,109,0.0,0.0,0.0
108.0,10.0,22.0,-0.6727,-240.0,109,0.0,0.0,0.0
123.0,11.0,20.0,-0.7812,-310.0,88,0.0,0.0,0.0
124.0,12.0,18.0,-0.8463,-260.0,97,0.0,0.0,0.0
134.0,13.0,12.0,-0.868,-280.0,97,0.0,0.0,0.0
129.0,14.0,11.0,-0.8897,-200.0,109,0.0,0.0,0.0
132.0,15.0,12.0,-0.8897,-230.0,100,0.0,0.0,0.0
120.0,0.0,12.0,-0.8897,-260.0,97,0.0,0.0,0.0
113.0,1.0,15.0,-0.8897,-210.0,94,0.0,0.0,0.0
118.0,2.0,13.0,-0.8897,-230.0,94,0.0,0.0,0.0
115.0,3.0,15.0,-0.8897,-210.0,118,0.0,0.0,0.0
123.0,4.0,14.0,-0.8897,-270.0,106,0.0,0.0,0.0
128.0,5.0,15.0,-0.9114,-310.0,88,0.0,0.0,0.0
129.0,6.0,16.0,-0.9331,-310.0,106,0.0,0.0,0.0
137.0,7.0,15.0,-0.9331,-370.0,94,0.0,0.0,0.0
136.0,8.0,18.0,-0.9765,-360.0,109,0.0,0.0,0.0
142.0,9.0,17.0,-1.0199,-380.0,103,0.0,0.0,0.0
144.0,10.0,17.0,-1.0416,-380.0,94,0.0,0.0,0.0
149.0,11.0,15.0,-1.0633,-390.0,94,0.0,0.0,0.0
150.0,12.0,16.0,-1.1067,-380.0,103,0.0,0.0,0.0
147.0,13.0,18.0,-1.1284,-350.0,109,0.0,0.0,0.0
148.0,14.0,22.0,-1.2152,-350.0,100,0.0,0.0,0.0
144.0,15.0,28.0,-1.302,-320.0,91,0.0,0.0,0.0
144.0,0.0,25.0,-1.4105,-390.0,94,0.0,0.0,0.0
156.0,1.0,16.0,-1.4756,-380.0,94,0.0,0.0,0.0
160.0,2.0,9.0,-1.4973,-330.0,115,0.0,0.0,0.0
163.0,3.0,7.0,-1.4973,-330.0,103,0.0,0.0,0.0
163.0,4.0,10.0,-1.4973,-350.0,88,0.0,0.0,0.0
162.0,5.0,14.0,-1.519,-360.0,97,0.0,0.0,0.0
167.0,6.0,14.0,-1.519,-400.0,94,0.0,0.0,0.0
168.0,7.0,14.0,-1.5407,-390.0,109,0.0,0.0,0.0
168.0,8.0,15.0,-1.5624,-380.0,109,0.0,0.0,0.0
170.0,9.0,16.0,-1.5841,-390.0,88,0.0,0.0,0.0
171.0,10.0,15.0,-1.5841,-380.0,94,0.0,0.0,0.0
176.0,11.0,15.0,-1.5841,-420.0,106,0.0,0.0,0.0
180.0,12.0,15.0,-1.6058,-440.0,109,0.0,0.0,0.0
178.0,13.0,19.0,-1.6492,-430.0,106,0.0,0.0,0.0
179.0,14.0,22.0,-1.7143,-430.0,94,0.0,0.0,0.0
187.0,15.0,22.0,-1.7794,-470.0,100,0.0,0.0,0.0
177.0,0.0,20.0,-1.8228,-480.0,94,0.0,0.0,0.0
187.0,1.0,21.0,-1.9313,-530.0,112,0.0,0.0,0.0
178.0,2.0,32.0,-2.17,-430.0,100,0.0,0.0,0.0
198.0,3.0,26.0,-2.3002,-500.0,88,0.0,0.0,0.0
212.0,4.0,18.0,-2.4521,-480.0,97,0.0,0.0,0.0
227.0,5.0,8.0,-2.5172,-490.0,94,0.0,0.0,0.0
231.0,6.0,8.0,-2.6257,-470.0,109,0.0,0.0,0.0
229.0,7.0,11.0,-2.6908,-440.0,103,0.0,0.0,0.0
230.0,8.0,18.0,-2.7776,-470.0,97,0.0,0.0,0.0
233.0,9.0,19.0,-2.7993,-490.0,94,0.0,0.0,0.0
234.0,10.0,18.0,-2.821,-470.0,103,0.0,0.0,0.0
241.0,11.0,18.0,-2.8644000000000003,-510.0,109,0.0,0.0,0.0
242.0,12.0,19.0,-2.9078,-500.0,103,0.0,0.0,0.0
245.0,13.0,21.0,-2.9512,-520.0,91,0.0,0.0,0.0
247.0,14.0,25.0,-3.0814,-510.0,94,0.0,0.0,0.0
3.0,15.0,20.0,-3.1248,-550.0,94,0.0,0.0,0.0
250.0,0.0,18.0,-3.2333000000000003,-540.0,115,0.0,0.0,0.0
1.0,1.0,16.0,-3.2984,-550.0,100,0.0,0.0,0.0
1.0,2.0,22.0,-3.4503,-530.0,88,0.0,0.0,0.0
8.0,3.0,22.0,-3.5371,-550.0,97,0.0,0.0,0.0
21.0,4.0,17.0,-3.6022000000000003,-590.0,94,0.0,0.0,0.0
24.0,5.0,17.0,-3.689,-570.0,112,0.0,0.0,0.0
27.0,6.0,14.0,-3.7324,-540.0,112,0.0,0.0,0.0
27.0,7.0,15.0,-3.7975,-510.0,88,0.0,0.0,0.0
24.0,8.0,16.0,-3.7975,-480.0,100,0.0,0.0,0.0
28.0,9.0,15.0,-3.7975,-500.0,97,0.0,0.0,0.0
32.0,10.0,17.0,-3.8192,-540.0,109,0.0,0.0,0.0
36.0,11.0,18.0,-3.8409,-570.0,100,0.0,0.0,0.0
38.0,12.0,19.0,-3.8843,-570.0,100,0.0,0.0,0.0
39.0,13.0,20.0,-3.906,-570.0,94,0.0,0.0,0.0
47.0,14.0,21.0,-3.9928,-610.0,94,0.0,0.0,0.0
52.0,15.0,20.0,-4.0362,-620.0,112,0.0,0.0,0.0
36.0,0.0,26.0,-4.1664,-610.0,100,0.0,0.0,0.0
42.0,1.0,34.0,-4.4051,-630.0,88,0.0,0.0,0.0
55.0,2.0,32.0,-4.6004000000000005,-640.0,100,0.0,0.0,0.0
83.0,3.0,21.0,-4.8174,-700.0,94,0.0,0.0,0.0
98.0,4.0,9.0,-4.9693000000000005,-650.0,109,0.0,0.0,0.0
102.0,5.0,0.0,-5.0344,-630.0,106,0.0,0.0,0.0
100.0,6.0,-1.0,-5.0561,-580.0,88,0.0,0.0,0.0
99.0,7.0,4.0,-5.0561,-540.0,94,0.0,0.0,0.0
91.0,8.0,12.0,-5.0561,-530.0,100,0.0,0.0,0.0
89.0,9.0,16.0,-5.0561,-540.0,112,0.0,0.0,0.0
97.0,10.0,14.0,-5.0561,-590.0,100,0.0,0.0,0.0
100.0,11.0,11.0,-5.0561,-580.0,91,0.0,0.0,0.0
103.0,12.0,10.0,-5.0561,-590.0,94,0.0,0.0,0.0
109.0,13.0,8.0,-5.0561,-620.0,94,0.0,0.0,0.0
106.0,14.0,11.0,-5.0561,-610.0,118,0.0,0.0,0.0
106.0,15.0,11.0,-5.0561,-600.0,106,0.0,0.0,0.0
91.0,0.0,10.0,-5.0561,-590.0,88,0.0,0.0,0.0
91.0,1.0,11.0,-5.0561,-590.0,103,0.0,0.0,0.0
90.0,2.0,12.0,-5.0561,-580.0,94,0.0,0.0,0.0
89.0,3.0,13.0,-5.0778,-560.0,109,0.0,0.0,0.0
91.0,4.0,13.0,-5.0778,-570.0,106,0.0,0.0,0.0
91.0,5.0,12.0,-5.0778,-550.0,88,0.0,0.0,0.0
95.0,6.0,13.0,-5.0778,-590.0,94,0.0,0.0,0.0
98.0,7.0,14.0,-5.0778,-620.0,106,0.0,0.0,0.0
104.0,8.0,14.0,-5.0995,-660.0,112,0.0,0.0,0.0
110.0,9.0,14.0,-5.1212,-700.0,100,0.0,0.0,0.0
115.0,10.0,14.0,-5.1429,-730.0,94,0.0,0.0,0.0
116.0,11.0,17.0,-5.208,-730.0,94,0.0,0.0,0.0
119.0,12.0,22.0,-5.3382000000000005,-740.0,94,0.0,0.0,0.0
133.0,13.0,21.0,-5.4684,-800.0,112,0.0,0.0,0.0
149.0,14.0,13.0,-5.5986,-800.0,106,0.0,0.0,0.0
152.0,15.0,10.0,-5.7071000000000005,-740.0,88,0.0,0.0,0.0
143.0,0.0,10.0,-5.859,-730.0,103,0.0,0.0,0.0
156.0,1.0,3.0,-5.9024,-760.0,94,0.0,0.0,0.0
152.0,2.0,2.0,-5.9024,-700.0,109,0.0,0.0,0.0
151.0,3.0,5.0,-5.9024,-710.0,103,0.0,0.0,0.0
151.0,4.0,6.0,-5.9024,-710.0,97,0.0,0.0,0.0
153.0,5.0,8.0,-5.9241,-730.0,94,0.0,0.0,0.0
159.0,6.0,8.0,-5.9458,-770.0,100,0.0,0.0,0.0
164.0,7.0,8.0,-5.9675,-800.0,115,0.0,0.0,0.0
161.0,8.0,8.0,-5.9675,-760.0,106,0.0,0.0,0.0
157.0,9.0,7.0,-5.9675,-700.0,91,0.0,0.0,0.0
157.0,10.0,7.0,-5.9675,-690.0,100,0.0,0.0,0.0
163.0,11.0,5.0,-5.9675,-720.0,94,0.0,0.0,0.0
169.0,12.0,5.0,-5.9675,-770.0,115,0.0,0.0,0.0
172.0,13.0,4.0,-5.9675,-780.0,103,0.0,0.0,0.0
171.0,14.0,6.0,-5.9892,-770.0,94,0.0,0.0,0.0
169.0,15.0,7.0,-6.0109,-740.0,97,0.0,0.0,0.0
154.0,0.0,7.0,-6.0109,-740.0,94,0.0,0.0,0.0
156.0,1.0,7.0,-6.0109,-750.0,109,0.0,0.0,0.0
161.0,2.0,8.0,-6.0109,-800.0,106,0.0,0.0,0.0
161.0,3.0,8.0,-6.0109,-790.0,88,0.0,0.0,0.0
162.0,4.0,13.0,-6.0760000000000005,-810.0,94,0.0,0.0,0.0
162.0,5.0,16.0,-6.097700000000001,-820.0,97,0.0,0.0,0.0
159.0,6.0,18.0,-6.1411,-780.0,109,0.0,0.0,0.0
161.0,7.0,18.0,-6.1628,-780.0,103,0.0,0.0,0.0
168.0,8.0,17.0,-6.2062,-810.0,94,0.0,0.0,0.0
166.0,9.0,19.0,-6.2496,-780.0,94,0.0,0.0,0.0
166.0,10.0,19.0,-6.2496,-770.0,94,0.0,0.0,0.0
169.0,11.0,17.0,-6.2713,-760.0,112,0.0,0.0,0.0
171.0,12.0,16.0,-6.2713,-760.0,100,0.0,0.0,0.0
174.0,13.0,15.0,-6.2713,-770.0,88,0.0,0.0,0.0
171.0,14.0,17.0,-6.293,-740.0,100,0.0,0.0,0.0
170.0,15.0,22.0,-6.3798,-730.0,94,0.0,0.0,0.0
159.0,0.0,19.0,-6.3798,-740.0,109,0.0,0.0,0.0
164.0,1.0,16.0,-6.3798,-750.0,109,0.0,0.0,0.0
166.0,2.0,18.0,-6.4232000000000005,-760.0,88,0.0,0.0,0.0
171.0,3.0,17.0,-6.4449000000000005,-780.0,100,0.0,0.0,0.0
172.0,4.0,17.0,-6.4449000000000005,-780.0,103,0.0,0.0,0.0
175.0,5.0,17.0,-6.466600000000001,-790.0,115,0.0,0.0,0.0
173.0,6.0,18.0,-6.466600000000001,-770.0,100,0.0,0.0,0.0
173.0,7.0,17.0,-6.466600000000001,-750.0,91,0.0,0.0,0.0
175.0,8.0,17.0,-6.4883,-750.0,100,0.0,0.0,0.0
179.0,9.0,17.0,-6.4883,-780.0,100,0.0,0.0,0.0
183.0,10.0,17.0,-6.51,-800.0,121,0.0,0.0,0.0
182.0,11.0,17.0,-6.51,-780.0,100,0.0,0.0,0.0
182.0,12.0,17.0,-6.51,-770.0,94,0.0,0.0,0.0
179.0,13.0,17.0,-6.51,-730.0,94,0.0,0.0,0.0
176.0,14.0,17.0,-6.51,-690.0,100,0.0,0.0,0.0
179.0,15.0,16.0,-6.51,-700.0,109,0.0,0.0,0.0
167.0,0.0,16.0,-6.51,-730.0,109,0.0,0.0,0.0
170.0,1.0,16.0,-6.51,-750.0,88,0.0,0.0,0.0
174.0,2.0,15.0,-6.51,-770.0,94,0.0,0.0,0.0
170.0,3.0,16.0,-6.51,-730.0,106,0.0,0.0,0.0
172.0,4.0,16.0,-6.51,-740.0,115,0.0,0.0,0.0
180.0,5.0,15.0,-6.51,-800.0,100,0.0,0.0,0.0
182.0,6.0,15.0,-6.51,-810.0,97,0.0,0.0,0.0
181.0,7.0,16.0,-6.51,-800.0,91,0.0,0.0,0.0
182.0,8.0,15.0,-6.51,-790.0,97,0.0,0.0,0.0
182.0,9.0,15.0,-6.51,-780.0,115,0.0,0.0,0.0
181.0,10.0,16.0,-6.51,-770.0,106,0.0,0.0,0.0
185.0,11.0,14.0,-6.51,-780.0,91,0.0,0.0,0.0
187.0,12.0,15.0,-6.51,-800.0,106,0.0,0.0,0.0
189.0,13.0,15.0,-6.51,-810.0,97,0.0,0.0,0.0
192.0,14.0,15.0,-6.51,-830.0,109,0.0,0.0,0.0
191.0,15.0,15.0,-6.5317,-800.0,106,0.0,0.0,0.0
174.0,0.0,15.0,-6.5317,-780.0,103,0.0,0.0,0.0
175.0,1.0,16.0,-6.5317,-790.0,94,0.0,0.0,0.0
177.0,2.0,16.0,-6.5317,-800.0,100,0.0,0.0,0.0
178.0,3.0,16.0,-6.5317,-800.0,109,0.0,0.0,0.0
179.0,4.0,16.0,-6.5317,-800.0,100,0.0,0.0,0.0
179.0,5.0,16.0,-6.5317,-790.0,94,0.0,0.0,0.0
181.0,6.0,16.0,-6.5317,-800.0,94,0.0,0.0,0.0
181.0,7.0,17.0,-6.5317,-800.0,94,0.0,0.0,0.0
188.0,8.0,17.0,-6.5751,-840.0,118,0.0,0.0,0.0
185.0,9.0,18.0,-6.5751,-810.0,106,0.0,0.0,0.0
186.0,10.0,16.0,-6.5968,-780.0,91,0.0,0.0,0.0
188.0,11.0,16.0,-6.5968,-790.0,97,0.0,0.0,0.0
188.0,12.0,17.0,-6.5968,-790.0,100,0.0,0.0,0.0
188.0,13.0,18.0,-6.5968,-790.0,106,0.0,0.0,0.0
193.0,14.0,18.0,-6.6185,-820.0,109,0.0,0.0,0.0
197.0,15.0,18.0,-6.6402,-840.0,88,0.0,0.0,0.0
179.0,0.0,18.0,-6.6402,-810.0,94,0.0,0.0,0.0
176.0,1.0,20.0,-6.6836,-770.0,91,0.0,0.0,0.0
179.0,2.0,21.0,-6.727,-780.0,115,0.0,0.0,0.0
179.0,3.0,18.0,-6.7487,-730.0,106,0.0,0.0,0.0
179.0,4.0,15.0,-6.7487,-690.0,97,0.0,0.0,0.0
172.0,5.0,16.0,-6.7487,-620.0,100,0.0,0.0,0.0
171.0,6.0,17.0,-6.7487,-610.0,97,0.0,0.0,0.0
170.0,7.0,16.0,-6.7487,-580.0,109,0.0,0.0,0.0
171.0,8.0,15.0,-6.7487,-570.0,100,0.0,0.0,0.0
170.0,9.0,15.0,-6.7487,-550.0,88,0.0,0.0,0.0
165.0,10.0,15.0,-6.7487,-490.0,100,0.0,0.0,0.0
166.0,11.0,16.0,-6.7487,-500.0,88,0.0,0.0,0.0
